#TradeId,NettingSetId,CVA,DVA,FBA,FCA,FBAexOwnSP,FCAexOwnSP,FBAexAllSP,FCAexAllSP,COLVA,MVA,OurKVACCR,TheirKVACCR,OurKVACVA,TheirKVACVA,CollateralFloor,AllocatedCVA,AllocatedDVA,AllocationMethod,BaselEPE,BaselEEPE
,CPTY_A,932624.02,714386.51,320223.31,-134318.57,381927.47,-155969.94,425304.78,-171013.94,0.00,0.00,0.00,0.00,0.00,0.00,0.00,932624.02,714386.51,None,6235390.05,6238704.28
Swap_A,CPTY_A,73668.34,70589.83,31794.65,-10614.48,37604.19,-12320.47,41655.24,-13502.84,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.00,0.00,None,424522.27,424522.27
Swap_B,CPTY_A,75732.19,71527.95,32080.71,-10866.26,38223.92,-12666.20,42533.73,-13918.91,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.00,0.00,None,431693.37,431693.37
Swap_C,CPTY_A,81758.39,72590.72,32102.52,-11603.89,39190.82,-13675.32,44257.60,-15132.96,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.00,0.00,None,465201.72,465763.97
Swap_D,CPTY_A,78137.61,72547.87,32368.02,-11160.74,38918.32,-13069.09,43546.71,-14403.15,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.00,0.00,None,441208.70,441208.70
Swap_E,CPTY_A,81683.68,72276.78,31963.45,-11594.30,39021.54,-13662.81,44066.75,-15118.31,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.00,0.00,None,466018.39,466615.72
Swap_F,CPTY_A,80164.44,72303.75,32104.47,-11411.55,38922.96,-13408.44,43771.21,-14809.29,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.00,0.00,None,455300.82,455300.82
Swap_14,CPTY_A,78454.50,73236.98,32676.16,-11204.31,39287.38,-13122.12,43958.75,-14462.93,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.00,0.00,None,441229.26,441229.26
Swap_16,CPTY_A,74250.66,70809.11,31846.41,-10683.68,37762.46,-12418.04,41896.71,-13621.68,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.00,0.00,None,426814.28,426814.28
SwaptionCashPremium_16,CPTY_A,23626.83,32173.25,15066.93,-3528.42,16631.70,-3949.66,17651.11,-4228.84,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.00,0.00,None,108144.05,108144.05
SwaptionPhysical_80,CPTY_A,85713.30,2885.10,1233.01,-12655.28,1595.06,-14327.53,1859.31,-15472.16,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.00,0.00,None,1066051.00,1068490.64
Swap_80,CPTY_A,72075.61,69222.50,31273.59,-10418.15,36792.62,-12053.61,40623.39,-13183.60,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.00,0.00,None,421360.06,421360.06
SwaptionCashPremium_80,CPTY_A,20053.06,33522.46,15702.95,-3027.15,17325.26,-3351.29,18381.96,-3563.97,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.00,0.00,None,96161.84,96161.84
SwaptionPhysicalPremium_80,CPTY_A,45504.82,38100.26,17680.94,-6413.44,19838.30,-7613.64,21277.69,-8453.54,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.00,0.00,None,102745.96,102745.96
SwaptionCash_81,CPTY_A,84760.23,0.00,0.00,-12668.38,0.00,-14166.23,0.00,-15173.80,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.00,0.00,None,1148873.93,1154893.99
